#OTU_ID	D1FB	D1S1A	D1S1B	D1S2A	D1S2B	D1S3A	D1S3B	D1S4A	D1S4B	D1S5A	D1S5B	D1S6A	D1S6B	D1S7A	D1S7B	D1S8A	D1S8B	D2FB	D2S1A	D2S1B	D2S2A	D2S2B	D2S3A	D2S3B	D2S4A	D2S4B	D2S5A	D2S5B	D3FB	D3S1A	D3S1B	D3S2A	D3S2B	D3S3A	D3S3B	D3S4A	D3S4B	D3S5A	D3S5B	D3S6A	D3S6B	D3S7A	D3S7B	D4FB	D4S1A	D4S1B	D4S2A	D4S2B	D4S3A	D4S3B	D4S4A	D4S4B	D4S5A	D4S5B	EB08	EB09	EB10	NEG07	NEG08	NEG09	POS07	POS08	POS09	taxonomy
Capra_hircus	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Mammalia; o__Artiodactyla; f__Bovidae; g__Capra; s__Capra_hircus
Ovis_aries	0	105	136	381	207	466	65	275	84	146	261	130	772	183	550	267	105	0	262	48	253	517	0	59	0	0	542	235	0	188	16	36	188	173	365	0	107	91	211	40	0	57	121	0	0	37	52	0	15	0	0	41	83	10	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Mammalia; o__Artiodactyla; f__Bovidae; g__Ovis; s__Ovis_aries
Capreolus_capreolus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Mammalia; o__Artiodactyla; f__Cervidae; g__Capreolus; s__Capreolus_capreolus
Sus_scrofa	0	265	124	20	319	0	398	143	124	0	53	184	0	0	3	0	657	0	150	261	331	55	0	600	283	0	46	4	0	100	99	26	19	89	242	354	140	114	66	84	0	73	217	0	0	0	16	19	17	27	24	0	0	0	106	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Mammalia; o__Artiodactyla; f__Suidae; g__Sus; s__Sus_scrofa
Canis_lupus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Mammalia; o__Carnivora; f__Canidae; g__Canis; s__Canis_lupus
Vulpes_vulpes	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Mammalia; o__Carnivora; f__Canidae; g__Vulpes; s__Vulpes_vulpes
Myotis_daubentonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Mammalia; o__Chiroptera; f__Vespertilionidae; g__Myotis; s__Myotis_daubentonii
Oryctolagus_cuniculus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Mammalia; o__Lagomorpha; f__Leporidae; g__Oryctolagus; s__Oryctolagus_cuniculus
Equus_caballus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Mammalia; o__Perissodactyla; f__Equidae; g__Equus; s__Equus_caballus
Homo_sapiens	0	0	0	0	10	72	20	6	0	0	0	0	0	0	0	0	0	0	115	11	8	12	3	0	0	0	5	0	0	3	0	0	0	30	0	3	0	27	30	7	124	0	0	0	3	0	12	12	0	0	7	0	0	0	0	0	0	284	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__Homo; s__Homo_sapiens
Apodemus_flavicollis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Mammalia; o__Rodentia; f__Muridae; g__Apodemus; s__Apodemus_flavicollis
Apodemus_sylvaticus	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Mammalia; o__Rodentia; f__Muridae; g__Apodemus; s__Apodemus_sylvaticus
Leuciscus	0	253	0	0	0	486	279	359	0	192	171	2247	4825	969	204	1380	101	0	708	364	704	184	74	185	454	0	0	81	0	469	702	482	327	754	932	361	685	373	1219	576	214	187	272	0	234	492	1311	442	261	296	297	416	515	638	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Leuciscus
Chelon	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	443	0	850	417	417	638	313	283	1139	876	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Mugiliformes; f__Mugilidae; g__Chelon
Cyprinidae	0	7397	9959	5977	6404	5578	4655	1600	812	604	714	0	0	929	0	183	119	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	81	0	24	102	0	24	43	71	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cyprinidae
Phasianidae	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Aves; o__Galliformes; f__Phasianidae
Turdidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Aves; o__Passeriformes; f__Turdidae
unassigned	0	139	186	395	182	1729	67	30	70	609	217	32	53	186	295	119	660	0	343	176	456	175	4550	1007	284	160	608	438	0	75	5	57	51	92	299	334	36	1449	167	4	851	114	20	0	173	147	331	1008	237	31	814	129	243	537	0	0	0	0	0	24	0	0	0	u__unassigned
